index;1;2;3;4
1;4;5;5;5
2;3;4;4;4
3;3;4;3;4
4;3;4;4;4
5;4;4;4;5
6;5;5;4;4
7;5;5;5;3
8;3;4;5;3
9;5;5;5;5
10;5;5;5;5
11;3;4;4;4
12;4;4;5;5
13;2;4;3;2
14;4;5;5;5
15;2;2;2;2
16;3;3;4;4
17;4;4;5;5
18;4;4;4;4
19;5;5;5;5
20;4;4;3;4
21;4;4;3;4
22;3;3;3;3
23;4;5;5;5
24;4;4;4;4
25;3;4;4;4
26;3;3;4;4
27;4;4;4;4
28;3;4;4;4
29;4;4;5;5
30;4;4;5;5
31;4;3;5;5
32;2;2;2;2
33;4;4;5;5
34;2;4;3;2
35;4;5;5;5
36;2;2;2;2
37;3;3;4;4
38;4;4;5;5
39;4;4;5;5
40;4;4;4;4
41;5;5;5;5
42;4;4;3;4
43;4;4;3;4
44;3;3;3;3
45;4;5;5;5
46;4;4;4;4
47;3;4;4;4
48;3;3;4;4
49;3;4;5;5
50;3;4;4;4
51;4;4;3;4
52;3;3;3;3
53;4;5;5;5
54;4;4;4;4
55;3;4;4;4
56;3;3;4;4
57;3;4;5;5
58;3;4;4;4
59;2;2;2;2
60;4;5;5;5
61;4;4;5;5
62;4;5;5;5
63;4;4;4;4
64;3;4;4;4
65;3;4;4;4
66;3;4;5;5
67;3;4;4;4
68;2;2;4;2
69;4;5;5;5
70;4;4;5;5
71;3;4;4;4
72;3;3;3;3
73;3;3;3;3
74;4;5;5;5
75;4;4;4;4
76;3;4;4;4
77;3;3;4;4
78;3;4;5;5
79;3;4;4;4
80;2;2;2;2
81;4;5;5;5
82;4;4;5;5
83;4;5;5;5
84;4;4;4;4
85;3;4;4;4
86;3;4;4;4
87;3;4;5;5
88;3;4;4;4
89;3;3;3;3
90;4;4;5;5
91;5;4;5;5
92;4;5;5;5
93;4;4;5;5
94;3;4;4;4
95;3;3;3;3
96;3;3;3;3
97;4;4;4;5
